drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Duetact,(pioglitazone HCl and glimepiride)  Tablets,"July 31, 2006","Takeda Pharmaceuticals North America, Inc.","Diabetes, Type 2"
Xolegel,(ketoconazole)  Gel  - formerly Sebazole,"July 28, 2006","Barrier Therapeutics, Inc.",Seborrheic Dermatitis
Elaprase,(idursulfase)  Injection,"July 24, 2006",Shire plc,Mucopolysaccharidosis Type II
Symbicort,(budesonide and formoterol)  Inhaler,"July 21, 2006",AstraZeneca,"Asthma, Maintenance, COPD, Maintenance"
Implanon,(etonogestrel)  Implant,"July 18, 2006",Organon,Birth Control
Atripla,"(efavirenz, emtricitabine and tenofovir disoproxil fumarate)  Tablets","July 12, 2006","Bristol-Myers Squibb Company / Gilead Sciences, Inc.",HIV Infection
Lucentis,(ranibizumab)  Injection,"June 30, 2006","Genentech, Inc.",Macular Degeneration; Macular Edema; Diabetic Macular Edema; Diabetic Retinopathy; Myopic Choroidal Neovascularization
Sprycel,(dasatinib)  Tablets,"June 28, 2006",Bristol-Myers Squibb Company,"Acute Lymphoblastic Leukemia, Chronic Myelogenous Leukemia"
Prezista,(darunavir)  Tablets  - formerly TMC114,"June 23, 2006",Janssen Therapeutics,HIV Infection
Opana,(oxymorphone)  Tablets and ER Tablets,"June 22, 2006",Endo Pharmaceuticals Inc.,Pain
Zelapar,(selegiline hydrochloride)  Orally Disintegrating Tablets,"June 14, 2006",Valeant Pharmaceuticals International,Parkinson's Disease
Gardasil,"(human papillomavirus quadrivalent (types 6, 11, 16, and 18) vaccine, recombinant)  Injection","June 8, 2006","Merck & Co., Inc.",Human Papillomavirus Prophylaxis
Juvederm,(dermal filler)  Injectable Gel,"June 2, 2006","Allergan, Inc.",Facial Rejuvenation
Orapred ODT,(prednisolone sodium phosphate)  Orally Disintegrating Tablets,"June 1, 2006","BioMarin Pharmaceutical Inc./Alliant Pharmaceuticals, Inc.","Asthma, acute"
Seasonique,(levonorgestrel and ethinyl estradiol)  Extended-Cycle Oral Contraceptive Tablets,"May 25, 2006","Duramed Pharmaceuticals, Inc.",Birth Control
Oracea,(doxycycline)  Capsules,"May 26, 2006","CollaGenex Pharmaceuticals, Inc.",Rosacea
Myozyme,(alglucosidase alfa),"April 28, 2006",Genzyme Corp.,Pompe Disease
Vivitrol,(naltrexone)  for Extended-Release Injectable Suspension  - formerly Vivitrex,"April 13, 2006","Alkermes, Inc.","Alcohol Use Disorder, Opioid Use Disorder"
NeoProfen,(ibuprofen lysine)  Injection,"April 13, 2006","Farmacon-IL, LLC",Patent Ductus Arteriosus
Daytrana,(methylphenidate)  Transdermal System  - formerly MTS,"April 6, 2006","Shire Pharmaceuticals Group plc / Noven Pharmaceuticals, Inc.",Attention Deficit Hyperactivity Disorder (ADHD)
Yaz,(drospirenone and ethinyl estradiol)  Tablets,"March 16, 2006","Berlex, Inc.","Acne, Birth Control, Premenstrual Dysphoric Disorder"
Emsam,(selegiline)  Transdermal System,"February 27, 2006","Somerset Pharmaceuticals, Inc.",Depression
Loestrin 24 Fe,(norethindrone acetate/ethinyl estradiol and ferrous fumarate)  Tablets,"February 17, 2006",Warner Chilcott,Birth Control
Eraxis,(anidulafungin)  Injection,"February 17, 2006",Pfizer Inc.,Candidemia
Vusion,"(miconazole nitrate, zinc oxide and white petrolatum)  Ointment  - formerly Zimycan","February 16, 2006","Barrier Therapeutics, Inc.",Cutaneous Candidiasis
RotaTeq,"(rotavirus vaccine, live, oral, pentavalent)","February 3, 2006","Merck & Co., Inc.",Rotavirus Gastroenteritis
Amitiza,(lubiprostone)  Capsules,"January 31, 2006","Sucampo Pharmaceuticals, Inc.","Chronic Idiopathic Constipation, Opioid-Induced Constipation, Irritable Bowel Syndrome with Constipation"
HepaGam B,(hepatitis B immune globulin),"January 30, 2006",Cangene,Exposure to Hepatitis B Virus
Exubera,(insulin inhalation)  Powder,"January 27, 2006",Pfizer Inc.,"Diabetes, Type 1, Diabetes, Type 2"
Ranexa,(ranolazine)  Extended-Release Tablets,"January 27, 2006","CV Therapeutics, Inc.",Angina
Sutent,(sunitinib malate)  Capsules,"January 26, 2006",Pfizer Inc.,"Gastrointestinal Stromal Tumor, Renal Cell Carcinoma, Pancreatic Cancer"
Taclonex,(calcipotriene and betamethasone dipropionate)  Ointment,"January 9, 2006",LEO Pharma,Psoriasis
Vivaglobin,(immune globulin subcutaneous (human)),"January 9, 2006",ZLB Behring,Primary Immunodeficiency Syndrome
Adacel,"(Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine Adsorbed (Tdap))","June 10, 2005",Aventis Pasteur Limited,"Tetanus Prophylaxis, Diphtheria Prophylaxis, Pertussis Prophylaxis"
Aptivus,(tipranavir)  Capsules,"June 22, 2005",Boehringer Ingelheim,HIV Infection
Revlimid,(lenalidomide)  Capsules,"December 27, 2005",Celgene Corporation,"Myelodysplastic Syndrome, Multiple Myeloma, Lymphoma, Follicular Lymphoma"
Xibrom,(bromfenac)  Ophthalmic Solution,"March 24, 2005","ISTA Pharmaceuticals, Inc.",Postoperative Ocular Inflammation
Vaprisol,(conivaptan hydrochloride)  Injection,"December 29, 2005","Astellas Pharma US, Inc.",Hyponatremia
Revlimid,(lenalidomide)  Capsules,"December 27, 2005",Celgene Corporation,"Myelodysplastic Syndrome, Multiple Myeloma, Lymphoma, Follicular Lymphoma"
Orencia,(abatacept)  Injection,"December 23, 2005",Bristol-Myers Squibb Company,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Graft Versus Host Disease - Prophylaxis"
Nexavar,(sorafenib)  Tablets,"December 20, 2005",Bayer Pharmaceuticals Corporation,"Renal Cell Carcinoma, Hepatocellular Carcinoma, Thyroid Cancer"
iPlex,(mecasermin rinfabate [rDNA origin])  Injection  - formerly SomatoKine,"December 12, 2005",Insmed Incorporated,Primary IGF-1 Deficiency
Hylenex,(hyaluronidase)  Injection  - formerly Enhanze SC,"December 2, 2005",Halozyme Therapeutics/Baxter Healthcare Corporation,Adjuvant Agent to Enhance Drug Delivery
Exjade,(deferasirox)  Dispersible Tablets,"November 2, 2005",Novartis,"Hemosiderosis, Iron Overload"
Soltamox,(tamoxifen)  Oral Solution,"October 29, 2005","Savient Pharmaceuticals, Inc.",Breast Cancer
Arranon,(nelarabine)  Injection,"October 28, 2005",GlaxoSmithKline,"Acute Lymphoblastic Leukemia, Lymphoma"
Flexbumin,(albumin human)  Solution,"October 17, 2005",Baxter Healthcare Corporation,Plasma Volume Expansion
Angeliq,(drospirenone and estradiol)  Tablets,"September 28, 2005","Berlex, Inc.",Postmenopausal Symptoms
ProQuad,"(measles, mumps, rubella and varicella virus vaccine, live)  Injection","September 6, 2005","Merck & Co., Inc.","Mumps Prophylaxis, Measles Prophylaxis, Rubella Prophylaxis, Varicella-Zoster, Prophylaxis"
Increlex,(mecasermin)  Injection,"August 30, 2005","Tercica, Inc.",Primary IGF-1 Deficiency
ACTOplus met,(pioglitazone and metformin)  Tablets,"August 29, 2005",Takeda Pharmaceuticals,"Diabetes, Type 2"
Nevanac,(nepafenac)  Ophthalmic Suspension,"August 19, 2005","Alcon, Inc.",Postoperative Ocular Inflammation
Actonel with Calcium,(risedronate sodium and calcium carbonate),"August 12, 2005","Procter & Gamble Pharmaceuticals, Inc.",Osteoporosis
Fortical,(calcitonin)  Nasal Spray,"August 12, 2005","Unigene / Upsher-Smith Laboratories, Inc.",Osteoporosis
Rozerem,(ramelteon)  Tablets,"July 22, 2005","Takeda Pharmaceuticals North America, Inc.",Insomnia
BiDil,(isosorbide dinitrate and hydralazine)  Tablets,"June 23, 2005","NitroMed, Inc.",Heart Failure
Synera,(lidocaine and tetracaine)  Topical Patch  - formerly S-Caine Patch,"June 23, 2005","ZARS, Inc.",Local Anesthesia
Aptivus,(tipranavir)  Capsules,"June 22, 2005",Boehringer Ingelheim,HIV Infection
Levemir,(insulin detemir )  Injection,"June 16, 2005",Novo Nordisk Inc.,"Diabetes, Type 1, Diabetes, Type 2"
Tygacil,(tigecycline)  Injection,"June 15, 2005",Wyeth Pharmaceuticals,"Skin and Structure Infection, Intraabdominal Infection, Pneumonia"
Adacel,"(Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine Adsorbed (Tdap))","June 10, 2005",Aventis Pasteur Limited,"Tetanus Prophylaxis, Diphtheria Prophylaxis, Pertussis Prophylaxis"
Glumetza,(metformin extended release)  Tablets,"June 3, 2005","Biovail Corporation/Depomed, Inc.","Diabetes, Type 2"
Revatio,(sildenafil citrate),"June 3, 2005",Pfizer Inc.,Pulmonary Arterial Hypertension
Naglazyme,(galsulfase)  - formerly Aryplase,"May 31, 2005",BioMarin Pharmaceutical Inc.,Mucopolysaccharidosis Type VI
Focalin XR,(dexmethylphenidate)  Extended-Release Capsules,"May 26, 2005",Novartis Pharmaceuticals Corporation,ADHD
Proquin XR,(ciprofloxacin)  Extended-Release Tablets,"May 19, 2005","Depomed, Inc.",Urinary Tract Infection
Triglide,(fenofibrate)  Tablets,"May 7, 2005",SkyePharma PLC,"Hyperlipoproteinemia, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia Type IV, Elevated VLDL, Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL, Hypertriglyceridemia"
Boostrix,"(tetanus, diphtheria, acellular pertussis vaccine (Tdap))  Injection","May 3, 2005",GlaxoSmithKline Biologicals,"Diphtheria Prophylaxis, Tetanus Prophylaxis, Pertussis Prophylaxis"
Gammagard Liquid,(immune globulin infusion (human))  Solution,"April 27, 2005","Takeda Pharmaceuticals U.S.A., Inc.","Primary Immunodeficiency Syndrome, Multifocal Motor Neuropathy, Chronic Inflammatory Demyelinating Polyradiculoneuropathy"
Byetta,(exenatide)  Injection,"April 28, 2005",Amylin Pharmaceuticals / Eli Lilly & Co.,"Diabetes, Type 2"
Retisert,(fluocinolone acetonide)  Intravitreal Implant,"April 8, 2005",Bausch & Lomb,Uveitis
Fosamax Plus D,(alendronate and cholecalciferol)  Tablets,"April 7, 2005","Merck & Co., Inc.",Osteoporosis
Asmanex,(mometasone furoate)  Inhalation Powder,"March 30, 2005",Schering-Plough Corporation,Asthma
Baraclude,(entecavir)  Tablets / Oral Solution,"March 29, 2005",Bristol-Myers Squibb Company,Hepatitis B
Xibrom,(bromfenac)  Ophthalmic Solution,"March 24, 2005","ISTA Pharmaceuticals, Inc.",Postoperative Ocular Inflammation
Symlin,(pramlintide acetate)  Injection,"March 16, 2005","Amylin Pharmaceuticals, Inc.","Diabetes, Type 1, Diabetes, Type 2"
Mycamine,(micafungin sodium)  for Injection,"March 16, 2005",Astellas Pharma Inc.,"Esophageal Candidiasis, Fungal Infection Prophylaxis, Candidemia"
Clarinex-D 24 Hour,(desloratadine and pseudoephedrine sulfate)  ER Tablets,"March 3, 2005",Schering-Plough Corporation,Allergic Rhinitis
Vaccinia,(vaccinia immune globulin intravenous (human))  Injection,"May 2, 2005",DynPort Vaccine Company LLC,Smallpox Vaccine Reaction
Ammonul,(sodium benzoate and sodium phenylacetate)  Injection,"February 17, 2005",Medicis,Hyperammonemia
Vanos,(fluocinonide)  Cream,"February 11, 2005",Medicis,"Psoriasis, Atopic Dermatitis, Dermatitis"
Niravam,(alprazolam)  Orally Disintegrating Tablets,"January 19, 2005","Anxiety, Panic Disorder"
Menactra,(meningococcal conjugate vaccine),"January 14, 2005",Sanofi Pasteur,Meningococcal Disease Prophylaxis
ThyroShield,(potassium iodide)  Oral Solution,"January 12, 2005",Fleming & Company,Radiation Emergency
Abraxane,(paclitaxel protein-bound)  for Injectable Suspension,"January 7, 2005","American Pharmaceutical Partners, Inc. / American Bioscience, Inc.","Breast Cancer, Non-Small Cell Lung Cancer, Pancreatic Cancer"
Lyrica,(pregabalin)  Capsules,"December 30, 2004",Pfizer Inc.,"Neuropathic Pain, Postherpetic Neuralgia, Fibromyalgia, Diabetic Peripheral Neuropathy, Epilepsy"
Ventavis,(iloprost)  Inhalation Solution,"December 29, 2004","CoTherix, Inc.",Pulmonary Arterial Hypertension
Prialt,(ziconotide)  Intrathecal Infusion,"December 28, 2004","Elan Corporation, plc",Pain
Clolar,(clofarabine)  for Intravenous Infusion,"December 28, 2004",Genzyme Corp.,Acute Lymphoblastic Leukemia
Enablex,(darifenacin)  Extended-Release Tablets,"December 22, 2004","Allergan, Inc.",Overactive Bladder
depo-subQ provera 104,(medroxyprogesterone acetate)  Injection,"December 17, 2004",Pfizer Inc.,Birth Control
Macugen,(pegaptanib)  Ophthalmic Injection,"December 17, 2004",Eyetech / Pfizer Inc,Macular Degeneration
Kepivance,(palifermin)  Injection,"December 15, 2004",Amgen Inc.,Mucositis
Lunesta,(eszopiclone)  Tablets  - formerly Estorra,"December 15, 2004",Sepracor Inc.,Insomnia
Zylet,(loteprednol and tobramycin)  Ophthalmic Suspension,"December 14, 2004",Bausch & Lomb,"Uveitis, Iritis, Conjunctivitis, Bacterial, Keratitis, Cyclitis"
Equetro,(carbamazepine)  Extended-Release Capsules,"December 10, 2004",Shire Pharmaceuticals Group plc,Bipolar Disorder
Captique,(dermal filler)  Injectable Gel,"November 12, 2004",Inamed Corp / Genzyme Corp,Wrinkle Correction
Clindesse,(clindamycin phosphate)  Vaginal Cream,"November 30, 2004",KV Pharmaceutical Company,Bacterial Vaginosis
Antara,(fenofibrate)  Capsules,"November 30, 2004","Reliant Pharmaceuticals, Inc.","Hypertriglyceridemia, High Cholesterol, Familial Heterozygous"
Combunox,(ibuprofen and oxycodone hydrochloride)  Tablets,"November 26, 2004","Forest Laboratories, Inc.",Pain
Tysabri,(natalizumab)  Injection  - formerly Antegren,"November 23, 2004","Biogen Idec / Elan Corporation, plc","Multiple Sclerosis, Crohn's Disease, Maintenance"
VESIcare,(solifenacin succinate)  Tablets,"November 19, 2004",Astellas Pharma Inc.,Overactive Bladder
Tarceva,(erlotinib)  Tablets,"November 18, 2004","Genentech, Inc.","Non-Small Cell Lung Cancer, Pancreatic Cancer"
Omacor,(omega-3-acid ethyl esters)  Capsules,"November 10, 2004","Reliant Pharmaceuticals, Inc.",Hypertriglyceridemia
TriCor,(fenofibrate)  Tablets,"November 5, 2004",Abbott Laboratories,"Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia, Hyperlipoproteinemia Type IV, Elevated VLDL, Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL, Hypertriglyceridemia"
Fosrenol,(lanthanum carbonate)  Chewable Tablets,"October 26, 2004",Shire Pharmaceuticals Group plc,Hyperphosphatemia of Renal Failure
Amphadase,(hyaluronidase)  Injection,"October 26, 2004","Amphastar Pharmaceuticals, Inc",Adjuvant to increase the absorption and dispersion of other injected drugs
Evoclin,(clindamycin phosphate)  Foam  - formerly Actiza,"October 22, 2004",Connetics Corporation,Acne
Allegra-D 24 Hour,(fexofenadine and pseudoephedrine),"October 19, 2004",Sanofi Aventis US,"Allergic Rhinitis, Nasal Congestion"
Hylaform Plus,(dermal filler),"October 13, 2004",Inamed Corporation and Genzyme Corporation,Wrinkle Correction
Vantas,(histrelin)  Implant,"October 12, 2004",Valera Pharmaceuticals,Prostate Cancer
Luveris,(lutropin alfa)  for Injection,"October 8, 2004","Serono, Inc.",Female Infertility
OraDisc A,(amlexanox)  Mucoadhesive Patch,"September 29, 2004","Access Pharmaceuticals, Inc.",Aphthous Ulcer
Palladone,(hydromorphone hydrochloride)  Extended Release Capsules,"September 24, 2004",Purdue Pharma L.P.,Pain
Fluxid,(famotidine)  Orally Disintegrating Tablets,"September 24, 2004","Schwarz Pharma, Inc.","Duodenal Ulcer, Stomach Ulcer, GERD, Zollinger-Ellison Syndrome"
Femtrace,(estradiol acetate)  Tablets,"August 20, 2004",Warner Chilcott,Postmenopausal Symptoms
Cymbalta,(duloxetine)  Delayed-Release Capsules,"August 3, 2004",Eli Lilly and Company,"Neuropathic Pain, Pain, Osteoarthritis, Generalized Anxiety Disorder, Depression, Fibromyalgia, Diabetic Kidney Disease"
Sculptra,(injectable poly-L-lactic acid),"August 3, 2004",Sanofi-aventis U.S.,Facial Lipoatrophy; Facial Wrinkles
Truvada,(emtricitabine and tenofovir)  Tablets,"August 2, 2004","Gilead Sciences, Inc.","HIV Infection, Pre-Exposure Prophylaxis"
Epzicom,(abacavir and lamivudine)  Tablets,"August 2, 2004",ViiV Healthcare,HIV Infection
Campral,(acamprosate calcium)  Delayed-Release Tablets,"July 29, 2004","Allergan, Inc.",Alcohol Use Disorder
Metvixia,(methyl aminolevulinate hydrochloride)  Cream,"July 27, 2004",PhotoCure ASA,Keratosis
Vytorin,(ezetimibe/simvastatin)  Tablets,"July 23, 2004",Merck/Schering-Plough Pharmaceuticals,"High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous"
Alinia,(nitazoxanide)  Tablets,"July 21, 2004",Romark Laboratories,Traveler's Diarrhea
Mucinex D,(guaifenesin and pseudoephedrine)  Extended-Release Tablets,"June 22, 2004",Adams Respiratory Therapeutics,Cough and Nasal Congestion
Codeprex,(chlorpheniramine polistirex and codeine polistirex)  Extended Release Suspension,"June 21, 2004","Lannett Company, Inc.",Cough
Zegerid,(omeprazole and sodium bicarbonate)  - formerly Rapinex,"June 15, 2004","Santarus, Inc.","Duodenal Ulcer, GERD, Stomach Ulcer, Erosive Esophagitis"
Menostar,(estradiol transdermal system),"June 8, 2004",Berlex,Prevention of Osteoporosis
Istalol,(timolol maleate ophthalmic)  Solution,"June 4, 2004","ISTA Pharmaceuticals, Inc.",Glaucoma
Sanctura,(trospium chloride)  Tablets,"May 28, 2004","Allergan, Inc.","Urinary Frequency, Urinary Incontinence, Overactive Bladder"
Xifaxan,(rifaximin)  Tablets,"May 25, 2004","Salix Pharmaceuticals, Ltd","Traveler's Diarrhea, Hepatic Encephalopathy, Irritable Bowel Syndrome"
Octagam,(immune globulin intravenous (human))  Injection,"May 21, 2004",Octapharma AG,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Dermatomyositis"
Vidaza,(azacitidine)   for Injectable Suspension,"May 19, 2004",Pharmion Corporation,Myelodysplastic Diseases
DepoDur,(morphine sulfate)  extended-release liposome Injection,"May 18, 2004",SkyePharma PLC and Endo Pharmaceuticals,Pain
Tindamax,(tinidazole)  Tablets,"May 17, 2004",Presutti Laboratories,"Trichomoniasis, Giardiasis, Bacterial Vaginosis"
Enjuvia,"(synthetic conjugated estrogens, B)  Tablets","May 10, 2004",Duramed Pharmaceuticals,"Postmenopausal Symptoms, Atrophic Vaginitis"
LidoSite,(lidocaine and Epinephrine)  Topical System,"May 10, 2004","Vyteris, Inc.",Local Anesthesia
HalfLytely and Bisacodyl  Tablets,(bisacodyl and polyethylene glycol (PEG) 3350 with electrolytes)  Bowel Prep Kit,"May 10, 2004","Braintree Laboratories, Inc.",Bowel Preparation
Vitrase,(hyaluronidase)  for Injection,"May 5, 2004","ISTA Pharmaceuticals, Inc.","Hypodermoclysis, Subcutaneous Urography"
Fortamet,(metformin)  Extended-Release Tablets,"April 28, 2004",Andrx Corporation,"Diabetes, Type 2"
Apokyn,(apomorphine)  Injection,"April 20, 2004",Bertek Pharmaceuticals,Parkinson's Disease
Apidra,(insulin glulisine)  Injection,"April 16, 2004",Aventis Pharmaceuticals Inc.,"Diabetes, Type 1, Diabetes, Type 2"
ChiRhoStim,(secretin synthetic human)  - formerly Human Secretin,"April 9, 2004","ChiRhoClin, Inc.",Diagnosis and Investigation
Ribasphere,(ribavirin)  Capsules,"April 6, 2004","Three Rivers Pharmaceuticals, LLC",Hepatitis C
Follistim AQ,(follitropin beta)  Injection,"March 24, 2004",Organon USA Inc.,"Female Infertility, Hypogonadism, Male, Ovulation Induction"
Sensipar,(cinacalcet)  Tablets,"March 8, 2004",Amgen Inc.,"Secondary Hyperparathyroidism, Hypercalcemia of Malignancy"
Iquix,(levofloxacin ophthalmic)  Ophthalmic Solution,"March 1, 2004",Santen,Corneal Ulcer
Myfortic,(mycophenolic acid)  Tablets,"February 27, 2004",Novartis Pharma AG,"Organ Transplant, Rejection Prophylaxis"
Avastin,(bevacizumab)  Injection,"February 26, 2004","Genentech, Inc.","Colorectal Cancer, Non-Small Cell Lung Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer, Hepatocellular Carcinoma"
Erbitux,(cetuximab)  Injection,"February 12, 2004",Eli Lilly and Company,"Colorectal Cancer, Head and Neck Cancer"
Rhophylac,(Rh0(D) immune globulin intravenous (human))  Injection,"February 12, 2004","ZLB Bioplasma AG, Switzerland",Prevention of Rho(D) Sensitization
